Budget Project Name(s),Dept,Budget Project Code(s),Commissioner District,Estimated Completion Date,Budget Fund(s),Funding Source,Location Name,Operational Impact,Pertinent Information,Project Manager,Project Narrative,Project Phase,Status,Project Priority,Start Date,Strategic Goals,Budget Org Code(s),Budget Account Code(s),Budget Account Name(s),In-House Engineering,FY2027 Proposed,FY2028 Proposed,FY2029 Proposed,FY2030 Proposed,FY2031 Proposed,Total FY2027-FY2031,Status Notes,Last Updated,Last Updated By,FY 2022 Proposed,FY2023 Proposed,FY2024 Proposed,FY2025 Proposed,YouTube Video URL,FY2026 Proposed
Morrison Springs Site Improvements (Boat Launch Facility),Engineering,10737,District 2,,Capital Projects Fund,,,,,,,None,,None,,,30047030,563000,Infrastructure,,$0,"$500,000",$0,$0,$0,"$500,000",,,,,,,,,
Multi-Use Path Bridge Updated Inspection & Recommendation Report,Engineering,10587,,,Transportation Fund,,,,,,,None,,None,,,10116001,563000,Infrastructure,,$0,$0,"$250,000",$0,"$560,000","$810,000",,,,,,,,,
Nancy Darby Rd Paving (Resurfacing),Public Works,10619,District 2,,Transportation Fund,,Nancy Darby Road,,,Scott Caraway,"Overlaying the existing asphalt roadway surface will preserve and extend the service life of the County’s transportation infrastructure while improving overall roadway conditions for the traveling public. The project will consist of resurfacing the existing asphalt pavement to address surface deterioration, rutting, cracking, and other deficiencies caused by age, weather, and continuous traffic loading. The proposed asphalt overlay will restore a smooth and structurally sound driving surface, improving ride quality and enhancing roadway safety for motorists, school buses, emergency response vehicles, and commercial traffic. By correcting surface defects and sealing the existing pavement, the project will also reduce water infiltration into the roadway base, helping to prevent accelerated pavement failure and reducing long-term maintenance costs for the County.

In addition to improving safety and drivability, the project will support the County’s ongoing efforts to preserve public infrastructure assets in a cost-effective manner. Timely resurfacing extends the useful life of existing roadways and delays the need for more extensive and expensive reconstruction projects in the future. The improved roadway conditions will also reduce wear and tear on vehicles, enhance drainage performance, and improve overall transportation efficiency within the County.",None,,High – Strategic Growth,,,10116001,553001,In-House Road Material,,$0,"$198,000",$0,$0,$0,"$198,000",,,,,,,,,
N Orange Street Pedestrian Improvements,Public Works,10734,District 5,,Capital Projects Fund,,,,,,,None,,None,,,10116001; 30047030,563000,Infrastructure,"$108,800","$340,000",$0,$0,$0,$0,"$448,800",,,,,,,,,
North Lake Drive,Public Works,,District 5,,Transportation Fund,,North Lake Drive,,,Scott Caraway,"The proposed project consists of paving an existing county-maintained dirt roadway to improve the overall safety, reliability, and efficiency of the county’s transportation network. The roadway currently serves local residents, school bus traffic, emergency service providers, and other daily users; however, its unpaved condition creates ongoing maintenance challenges, reduced travel reliability, and hazardous driving conditions during periods of heavy rainfall and dry weather. The project will include roadway grading and shaping, installation or improvement of drainage infrastructure as needed, placement of a stabilized base course, and construction of an asphalt pavement surface. Associated work may also include shoulder improvements, traffic control devices, roadway striping, and erosion control measures necessary to provide a durable and safe transportation corridor. Paving this roadway will provide significant long-term benefits to the county and the traveling public. The project will improve vehicle safety by reducing loose aggregate, wash-boarding, rutting, dust generation, and muddy conditions that are commonly associated with dirt roads. The improved surface will enhance traction and visibility while reducing the likelihood of accidents and roadway failures during adverse weather conditions. The project will also improve emergency response access and reliability for law enforcement, fire rescue, and medical personnel by providing a dependable all-weather route. School bus operations and daily commuting conditions for residents will be improved through smoother travel surfaces, reduced vehicle wear and tear, and shorter travel times.

From an operational standpoint, paving the roadway will reduce the county’s recurring maintenance costs associated with grading, reshaping, dust suppression, and storm-related repairs that are routinely required on unpaved roads. The paved surface will provide a longer-lasting transportation asset that can be maintained more efficiently and economically over time. In addition, the project will support continued growth and economic development within the county by improving connectivity between residential areas, agricultural properties, local businesses, and other public infrastructure. The upgraded roadway will strengthen the county transportation system by providing safer and more dependable access for residents and visitors while enhancing the overall quality of life for the surrounding community.",None,,High – Strategic Growth,,,,,,,$0,$0,$0,$0,"$25,000","$25,000",,,,,,,,,
Oak Grove Road Phase 2 Reconstruction (Resurfacing),Public Works,10615,District 2,,Transportation Fund,,Oak Grove Rd.,,,Scott Caraway,"Overlaying the existing asphalt roadway surface will preserve and extend the service life of the County’s transportation infrastructure while improving overall roadway conditions for the traveling public. The project will consist of resurfacing the existing asphalt pavement to address surface deterioration, rutting, cracking, and other deficiencies caused by age, weather, and continuous traffic loading. The proposed asphalt overlay will restore a smooth and structurally sound driving surface, improving ride quality and enhancing roadway safety for motorists, school buses, emergency response vehicles, and commercial traffic. By correcting surface defects and sealing the existing pavement, the project will also reduce water infiltration into the roadway base, helping to prevent accelerated pavement failure and reducing long-term maintenance costs for the County.

In addition to improving safety and drivability, the project will support the County’s ongoing efforts to preserve public infrastructure assets in a cost-effective manner. Timely resurfacing extends the useful life of existing roadways and delays the need for more extensive and expensive reconstruction projects in the future. The improved roadway conditions will also reduce wear and tear on vehicles, enhance drainage performance, and improve overall transportation efficiency within the County.",None,,High – Strategic Growth,,,10116001,553001,In-House Road Material,,$0,"$342,000",$0,$0,$0,"$342,000",,,,,,,,,
Oakwood Lakes @ Hwy 331 South Turn Lane,Public Works,,District 3,,Transportation Fund,,Oakwood Lakes Blvd.,,,Scott Caraway,"The County proposes the construction of a dedicated turn lane at the intersection of Oakwood Lakes Blvd. and U.S. Hwy 331 to improve traffic operations, enhance roadway safety, and accommodate existing and projected traffic volumes. The project location currently experiences traffic congestion, vehicle queuing, and operational conflicts caused by turning movements that impede through traffic and create potential safety hazards for motorists. The proposed project will include the construction of a dedicated turn lane, roadway widening, pavement improvements, pavement markings, signage, and other associated infrastructure necessary to safely integrate the turn lane into the existing roadway network. The design will conform to applicable roadway design standards and will be coordinated with existing utilities and drainage systems. The project will also improve access for residents, businesses, school transportation, emergency responders, and other roadway users. As traffic volumes continue to increase within the area, the proposed turn lane will help address current operational deficiencies while supporting future growth and development. The project will improve overall mobility along the corridor, reduce driver frustration caused by congestion, and enhance the safety and reliability of the transportation network.",None,,High – Strategic Growth,,,,,,"$10,800","$50,000",$0,$0,$0,$0,"$60,800",,,,,,,,,
Passion Flower Street (Dirt To Pave),Public Works,10590,District 3,,Capital Projects Fund,,Passion Flower Street,,,Scott Caraway,"The proposed project consists of paving an existing county-maintained dirt roadway to improve the overall safety, reliability, and efficiency of the county’s transportation network. The roadway currently serves local residents, school bus traffic, emergency service providers, and other daily users; however, its unpaved condition creates ongoing maintenance challenges, reduced travel reliability, and hazardous driving conditions during periods of heavy rainfall and dry weather. The project will include roadway grading and shaping, installation or improvement of drainage infrastructure as needed, placement of a stabilized base course, and construction of an asphalt pavement surface. Associated work may also include shoulder improvements, traffic control devices, roadway striping, and erosion control measures necessary to provide a durable and safe transportation corridor. Paving this roadway will provide significant long-term benefits to the county and the traveling public. The project will improve vehicle safety by reducing loose aggregate, wash-boarding, rutting, dust generation, and muddy conditions that are commonly associated with dirt roads. The improved surface will enhance traction and visibility while reducing the likelihood of accidents and roadway failures during adverse weather conditions. The project will also improve emergency response access and reliability for law enforcement, fire rescue, and medical personnel by providing a dependable all-weather route. School bus operations and daily commuting conditions for residents will be improved through smoother travel surfaces, reduced vehicle wear and tear, and shorter travel times.

From an operational standpoint, paving the roadway will reduce the county’s recurring maintenance costs associated with grading, reshaping, dust suppression, and storm-related repairs that are routinely required on unpaved roads. The paved surface will provide a longer-lasting transportation asset that can be maintained more efficiently and economically over time. In addition, the project will support continued growth and economic development within the county by improving connectivity between residential areas, agricultural properties, local businesses, and other public infrastructure. The upgraded roadway will strengthen the county transportation system by providing safer and more dependable access for residents and visitors while enhancing the overall quality of life for the surrounding community.",None,,High – Strategic Growth,,,10116001,563000,Infrastructure,,$0,$0,$0,"$109,500",$0,"$109,500",,,,,,,,,
Patch Road (Dirt To Pave),Public Works,10591,,,Transportation Fund,,,,,,,None,,None,,,10116001,563000,Infrastructure,,$0,$0,"$178,000",$0,$0,"$178,000",,,,,,,,,
Pavement Management (PCI) ,Public Works,10611,Countywide,,Capital Projects Fund,,,,,,,None,,None,,,10116001,553001,In-House Road Material,,"$900,000","$516,500","$1,893,500","$1,750,000","$1,750,000","$6,810,000",,,,,,,,,
Pedestrian Paths Project 1,Engineering,10740,,,Capital Projects Fund,,,,,,,None,,None,,,30047030,563000,Infrastructure,,$0,"$728,000",$0,$0,$0,"$728,000",,,,,,,,,
Pedestrian Paths Project 2,Engineering,10741,,,Capital Projects Fund,,,,,,,None,,None,,,30047030,563000,Infrastructure,,$0,$0,"$728,000",$0,$0,"$728,000",,,,,,,,,
Pedestrian Paths Project 3,Engineering,10742,,,Capital Projects Fund,,,,,,,None,,None,,,30047030,563000,Infrastructure,,$0,$0,"$150,000","$728,000",$0,"$878,000",,,,,,,,,
Pedestrian Paths Project 4,Engineering,10745,,,Capital Projects Fund,,,,,,,None,,None,,,30047030,563000,Infrastructure,,$0,$0,$0,"$150,000","$728,000","$878,000",,,,,,,,,
Pedestrian Paths Project 5,Engineering,10746,,,Capital Projects Fund,,,,,,,None,,None,,,30047030,563000,Infrastructure,,$0,$0,$0,$0,"$150,000","$150,000",,,,,,,,,
Pinetree Lane (Dirt To Pave),Public Works,10593,District 3,,Transportation Fund,,Pine Tree Lane,,,Scott Caraway,"Overlaying the existing asphalt roadway surface will preserve and extend the service life of the County’s transportation infrastructure while improving overall roadway conditions for the traveling public. The project will consist of resurfacing the existing asphalt pavement to address surface deterioration, rutting, cracking, and other deficiencies caused by age, weather, and continuous traffic loading. The proposed asphalt overlay will restore a smooth and structurally sound driving surface, improving ride quality and enhancing roadway safety for motorists, school buses, emergency response vehicles, and commercial traffic. By correcting surface defects and sealing the existing pavement, the project will also reduce water infiltration into the roadway base, helping to prevent accelerated pavement failure and reducing long-term maintenance costs for the County.
 
In addition to improving safety and drivability, the project will support the County’s ongoing efforts to preserve public infrastructure assets in a cost-effective manner. Timely resurfacing extends the useful life of existing roadways and delays the need for more extensive and expensive reconstruction projects in the future. The improved roadway conditions will also reduce wear and tear on vehicles, enhance drainage performance, and improve overall transportation efficiency within the County.",None,,High – Strategic Growth,,,10116001,563000,Infrastructure,,$0,$0,"$70,000",$0,$0,"$70,000",,,,,,,,,
Poinciana Blvd & Scenic Hwy 98 Intersection Signalization,Engineering,10728,District 4,,Capital Projects Fund,,CR 2378 (Scenic Gulf Drive) & Poinciana Blvd,,,County Engineering,"The intersection signalization of Poinciana Blvd and Scenic Hwy 98 (CR 2378) has been designed. Previously, it was included as part of the Poinciana Blvd Roadway and Drainage Improvements project but recently was determined to separate it in order to expedite the signalization component. Additionally, the Poinciana Blvd Roadway and Drainage Improvements project has been partially funded (pedestrian components) in FY 28 with the Transportation Alternatives program.

Project scope includes signalizing the intersection as well as implementation of pedestrian safety improvements.",Construction,,High – Strategic Growth,,,30047030,563000,Infrastructure,,"$900,000",$0,$0,$0,$0,"$900,000",,,,,,,,,
"Poinciana Blvd Roadway, Drainage & Pedestrian Improvements",Engineering,10594,,,Capital Projects Fund,,,,,,,None,,None,,,30047030,563000,Infrastructure,,$0,"$1,800,000",$0,$0,$0,"$1,800,000",,,,,,,,,
Red Magnolia Lane (Dirt To Pave),Public Works,10596,District 3,,Transportation Fund,,Red Magnolia Lane,,,Scott Caraway,"The proposed project consists of paving an existing county-maintained dirt roadway to improve the overall safety, reliability, and efficiency of the county’s transportation network. The roadway currently serves local residents, school bus traffic, emergency service providers, and other daily users; however, its unpaved condition creates ongoing maintenance challenges, reduced travel reliability, and hazardous driving conditions during periods of heavy rainfall and dry weather. The project will include roadway grading and shaping, installation or improvement of drainage infrastructure as needed, placement of a stabilized base course, and construction of an asphalt pavement surface. Associated work may also include shoulder improvements, traffic control devices, roadway striping, and erosion control measures necessary to provide a durable and safe transportation corridor. Paving this roadway will provide significant long-term benefits to the county and the traveling public. The project will improve vehicle safety by reducing loose aggregate, wash-boarding, rutting, dust generation, and muddy conditions that are commonly associated with dirt roads. The improved surface will enhance traction and visibility while reducing the likelihood of accidents and roadway failures during adverse weather conditions. The project will also improve emergency response access and reliability for law enforcement, fire rescue, and medical personnel by providing a dependable all-weather route. School bus operations and daily commuting conditions for residents will be improved through smoother travel surfaces, reduced vehicle wear and tear, and shorter travel times.

From an operational standpoint, paving the roadway will reduce the county’s recurring maintenance costs associated with grading, reshaping, dust suppression, and storm-related repairs that are routinely required on unpaved roads. The paved surface will provide a longer-lasting transportation asset that can be maintained more efficiently and economically over time. In addition, the project will support continued growth and economic development within the county by improving connectivity between residential areas, agricultural properties, local businesses, and other public infrastructure. The upgraded roadway will strengthen the county transportation system by providing safer and more dependable access for residents and visitors while enhancing the overall quality of life for the surrounding community.",None,,High – Strategic Growth,,,10116001,563000,Infrastructure,,$0,$0,$0,"$24,000",$0,"$24,000",,,,,,,,,
Rio Ranchero Road (Dirt To Pave),Public Works,,District 3,,Transportation Fund,,Rio Ranchero Rd.,,,Scott Caraway,"The proposed project consists of paving an existing county-maintained dirt roadway to improve the overall safety, reliability, and efficiency of the county’s transportation network. The roadway currently serves local residents, school bus traffic, emergency service providers, and other daily users; however, its unpaved condition creates ongoing maintenance challenges, reduced travel reliability, and hazardous driving conditions during periods of heavy rainfall and dry weather. The project will include roadway grading and shaping, installation or improvement of drainage infrastructure as needed, placement of a stabilized base course, and construction of an asphalt pavement surface. Associated work may also include shoulder improvements, traffic control devices, roadway striping, and erosion control measures necessary to provide a durable and safe transportation corridor. Paving this roadway will provide significant long-term benefits to the county and the traveling public. The project will improve vehicle safety by reducing loose aggregate, wash-boarding, rutting, dust generation, and muddy conditions that are commonly associated with dirt roads. The improved surface will enhance traction and visibility while reducing the likelihood of accidents and roadway failures during adverse weather conditions. The project will also improve emergency response access and reliability for law enforcement, fire rescue, and medical personnel by providing a dependable all-weather route. School bus operations and daily commuting conditions for residents will be improved through smoother travel surfaces, reduced vehicle wear and tear, and shorter travel times.

From an operational standpoint, paving the roadway will reduce the county’s recurring maintenance costs associated with grading, reshaping, dust suppression, and storm-related repairs that are routinely required on unpaved roads. The paved surface will provide a longer-lasting transportation asset that can be maintained more efficiently and economically over time. In addition, the project will support continued growth and economic development within the county by improving connectivity between residential areas, agricultural properties, local businesses, and other public infrastructure. The upgraded roadway will strengthen the county transportation system by providing safer and more dependable access for residents and visitors while enhancing the overall quality of life for the surrounding community.",None,,High – Strategic Growth,,,,,,,$0,$0,$0,"$120,000",$0,"$120,000",,,,,,,,,
Rock Hill Rd Improvements Phase 2,Engineering,10601,,,Capital Projects Fund,,,,,,,None,,None,,,30047030,563000,Infrastructure,,$0,"$2,271,017",$0,$0,$0,"$2,271,017",,,,,,,,,
Rock Hill Rd Improvements Phase 3,Engineering,,,,Capital Projects Fund,,,,,,,None,,,,,,,,,$0,$0,$0,"$3,208,487",$0,"$3,208,487",,,,,,,,,
Rock Hill Rd Improvements Phase 4 (Final),Engineering,10748,,,Capital Projects Fund,,,,,,,None,,None,,,30047030,563000,Infrastructure,,$0,$0,$0,"$6,150,000",$0,"$6,150,000",,,,,,,,,
Rosewood Lane (Dirt To Pave),Public Works,10604,District 3,,Transportation Fund,,Rosewood Lane,,,Scott Caraway,"The proposed project consists of paving an existing county-maintained dirt roadway to improve the overall safety, reliability, and efficiency of the county’s transportation network. The roadway currently serves local residents, school bus traffic, emergency service providers, and other daily users; however, its unpaved condition creates ongoing maintenance challenges, reduced travel reliability, and hazardous driving conditions during periods of heavy rainfall and dry weather. The project will include roadway grading and shaping, installation or improvement of drainage infrastructure as needed, placement of a stabilized base course, and construction of an asphalt pavement surface. Associated work may also include shoulder improvements, traffic control devices, roadway striping, and erosion control measures necessary to provide a durable and safe transportation corridor. Paving this roadway will provide significant long-term benefits to the county and the traveling public. The project will improve vehicle safety by reducing loose aggregate, wash-boarding, rutting, dust generation, and muddy conditions that are commonly associated with dirt roads. The improved surface will enhance traction and visibility while reducing the likelihood of accidents and roadway failures during adverse weather conditions. The project will also improve emergency response access and reliability for law enforcement, fire rescue, and medical personnel by providing a dependable all-weather route. School bus operations and daily commuting conditions for residents will be improved through smoother travel surfaces, reduced vehicle wear and tear, and shorter travel times.

From an operational standpoint, paving the roadway will reduce the county’s recurring maintenance costs associated with grading, reshaping, dust suppression, and storm-related repairs that are routinely required on unpaved roads. The paved surface will provide a longer-lasting transportation asset that can be maintained more efficiently and economically over time. In addition, the project will support continued growth and economic development within the county by improving connectivity between residential areas, agricultural properties, local businesses, and other public infrastructure. The upgraded roadway will strengthen the county transportation system by providing safer and more dependable access for residents and visitors while enhancing the overall quality of life for the surrounding community.",None,,High – Strategic Growth,,,10116001,563000,Infrastructure,,$0,$0,$0,"$42,000",$0,"$42,000",,,,,,,,,
See saw Bend (Dirt To Pave),Public Works,10607,District 3,,Transportation Fund,,See Saw Bend,,,Scott Caraway,"The proposed project consists of paving an existing county-maintained dirt roadway to improve the overall safety, reliability, and efficiency of the county’s transportation network. The roadway currently serves local residents, school bus traffic, emergency service providers, and other daily users; however, its unpaved condition creates ongoing maintenance challenges, reduced travel reliability, and hazardous driving conditions during periods of heavy rainfall and dry weather. The project will include roadway grading and shaping, installation or improvement of drainage infrastructure as needed, placement of a stabilized base course, and construction of an asphalt pavement surface. Associated work may also include shoulder improvements, traffic control devices, roadway striping, and erosion control measures necessary to provide a durable and safe transportation corridor. Paving this roadway will provide significant long-term benefits to the county and the traveling public. The project will improve vehicle safety by reducing loose aggregate, wash-boarding, rutting, dust generation, and muddy conditions that are commonly associated with dirt roads. The improved surface will enhance traction and visibility while reducing the likelihood of accidents and roadway failures during adverse weather conditions. The project will also improve emergency response access and reliability for law enforcement, fire rescue, and medical personnel by providing a dependable all-weather route. School bus operations and daily commuting conditions for residents will be improved through smoother travel surfaces, reduced vehicle wear and tear, and shorter travel times.

From an operational standpoint, paving the roadway will reduce the county’s recurring maintenance costs associated with grading, reshaping, dust suppression, and storm-related repairs that are routinely required on unpaved roads. The paved surface will provide a longer-lasting transportation asset that can be maintained more efficiently and economically over time. In addition, the project will support continued growth and economic development within the county by improving connectivity between residential areas, agricultural properties, local businesses, and other public infrastructure. The upgraded roadway will strengthen the county transportation system by providing safer and more dependable access for residents and visitors while enhancing the overall quality of life for the surrounding community.",None,,High – Strategic Growth,,,10116001,563000,Infrastructure,,$0,$0,$0,"$28,000",$0,"$28,000",,,,,,,,,
Seven Oaks Road Paving (Resurfacing),Public Works,10606,District 3,,Capital Projects Fund,,Seven Oaks Rd.,,,Scott Caraway,"Overlaying the existing asphalt roadway surface will preserve and extend the service life of the County’s transportation infrastructure while improving overall roadway conditions for the traveling public. The project will consist of resurfacing the existing asphalt pavement to address surface deterioration, rutting, cracking, and other deficiencies caused by age, weather, and continuous traffic loading. The proposed asphalt overlay will restore a smooth and structurally sound driving surface, improving ride quality and enhancing roadway safety for motorists, school buses, emergency response vehicles, and commercial traffic. By correcting surface defects and sealing the existing pavement, the project will also reduce water infiltration into the roadway base, helping to prevent accelerated pavement failure and reducing long-term maintenance costs for the County.

In addition to improving safety and drivability, the project will support the County’s ongoing efforts to preserve public infrastructure assets in a cost-effective manner. Timely resurfacing extends the useful life of existing roadways and delays the need for more extensive and expensive reconstruction projects in the future. The improved roadway conditions will also reduce wear and tear on vehicles, enhance drainage performance, and improve overall transportation efficiency within the County.",None,,High – Strategic Growth,,,10116001,553001,In-House Road Material,,"$154,500",$0,$0,$0,$0,"$154,500",,,,,,,,,
Shorey Drive (Dirt To Pave),Public Works,10603,District 3,,Capital Projects Fund,,Shorey Drive,,,Scott Caraway,"The proposed project consists of paving an existing county-maintained dirt roadway to improve the overall safety, reliability, and efficiency of the county’s transportation network. The roadway currently serves local residents, school bus traffic, emergency service providers, and other daily users; however, its unpaved condition creates ongoing maintenance challenges, reduced travel reliability, and hazardous driving conditions during periods of heavy rainfall and dry weather. The project will include roadway grading and shaping, installation or improvement of drainage infrastructure as needed, placement of a stabilized base course, and construction of an asphalt pavement surface. Associated work may also include shoulder improvements, traffic control devices, roadway striping, and erosion control measures necessary to provide a durable and safe transportation corridor. Paving this roadway will provide significant long-term benefits to the county and the traveling public. The project will improve vehicle safety by reducing loose aggregate, wash-boarding, rutting, dust generation, and muddy conditions that are commonly associated with dirt roads. The improved surface will enhance traction and visibility while reducing the likelihood of accidents and roadway failures during adverse weather conditions. The project will also improve emergency response access and reliability for law enforcement, fire rescue, and medical personnel by providing a dependable all-weather route. School bus operations and daily commuting conditions for residents will be improved through smoother travel surfaces, reduced vehicle wear and tear, and shorter travel times.

From an operational standpoint, paving the roadway will reduce the county’s recurring maintenance costs associated with grading, reshaping, dust suppression, and storm-related repairs that are routinely required on unpaved roads. The paved surface will provide a longer-lasting transportation asset that can be maintained more efficiently and economically over time. In addition, the project will support continued growth and economic development within the county by improving connectivity between residential areas, agricultural properties, local businesses, and other public infrastructure. The upgraded roadway will strengthen the county transportation system by providing safer and more dependable access for residents and visitors while enhancing the overall quality of life for the surrounding community.",None,,High – Strategic Growth,,,10116001,563000,Infrastructure,,$0,$0,$0,"$109,500",$0,"$109,500",,,,,,,,,
Snapdragon Street (Dirt To Pave),Public Works,,District 3,,Transportation Fund,,Snapdragon Street,,,Scott Caraway,"The proposed project consists of paving an existing county-maintained dirt roadway to improve the overall safety, reliability, and efficiency of the county’s transportation network. The roadway currently serves local residents, school bus traffic, emergency service providers, and other daily users; however, its unpaved condition creates ongoing maintenance challenges, reduced travel reliability, and hazardous driving conditions during periods of heavy rainfall and dry weather. The project will include roadway grading and shaping, installation or improvement of drainage infrastructure as needed, placement of a stabilized base course, and construction of an asphalt pavement surface. Associated work may also include shoulder improvements, traffic control devices, roadway striping, and erosion control measures necessary to provide a durable and safe transportation corridor. Paving this roadway will provide significant long-term benefits to the county and the traveling public. The project will improve vehicle safety by reducing loose aggregate, wash-boarding, rutting, dust generation, and muddy conditions that are commonly associated with dirt roads. The improved surface will enhance traction and visibility while reducing the likelihood of accidents and roadway failures during adverse weather conditions. The project will also improve emergency response access and reliability for law enforcement, fire rescue, and medical personnel by providing a dependable all-weather route. School bus operations and daily commuting conditions for residents will be improved through smoother travel surfaces, reduced vehicle wear and tear, and shorter travel times.

From an operational standpoint, paving the roadway will reduce the county’s recurring maintenance costs associated with grading, reshaping, dust suppression, and storm-related repairs that are routinely required on unpaved roads. The paved surface will provide a longer-lasting transportation asset that can be maintained more efficiently and economically over time. In addition, the project will support continued growth and economic development within the county by improving connectivity between residential areas, agricultural properties, local businesses, and other public infrastructure. The upgraded roadway will strengthen the county transportation system by providing safer and more dependable access for residents and visitors while enhancing the overall quality of life for the surrounding community.",None,,High – Strategic Growth,,,,,,,$0,$0,$0,$0,"$44,000","$44,000",,,,,,,,,
South Lake Drive,Public Works,,District 5,,Transportation Fund,,PW South Lake Drive,,,Scott Caraway,"The proposed project consists of paving an existing county-maintained dirt roadway to improve the overall safety, reliability, and efficiency of the county’s transportation network. The roadway currently serves local residents, school bus traffic, emergency service providers, and other daily users; however, its unpaved condition creates ongoing maintenance challenges, reduced travel reliability, and hazardous driving conditions during periods of heavy rainfall and dry weather. The project will include roadway grading and shaping, installation or improvement of drainage infrastructure as needed, placement of a stabilized base course, and construction of an asphalt pavement surface. Associated work may also include shoulder improvements, traffic control devices, roadway striping, and erosion control measures necessary to provide a durable and safe transportation corridor. Paving this roadway will provide significant long-term benefits to the county and the traveling public. The project will improve vehicle safety by reducing loose aggregate, wash-boarding, rutting, dust generation, and muddy conditions that are commonly associated with dirt roads. The improved surface will enhance traction and visibility while reducing the likelihood of accidents and roadway failures during adverse weather conditions. The project will also improve emergency response access and reliability for law enforcement, fire rescue, and medical personnel by providing a dependable all-weather route. School bus operations and daily commuting conditions for residents will be improved through smoother travel surfaces, reduced vehicle wear and tear, and shorter travel times.

From an operational standpoint, paving the roadway will reduce the county’s recurring maintenance costs associated with grading, reshaping, dust suppression, and storm-related repairs that are routinely required on unpaved roads. The paved surface will provide a longer-lasting transportation asset that can be maintained more efficiently and economically over time. In addition, the project will support continued growth and economic development within the county by improving connectivity between residential areas, agricultural properties, local businesses, and other public infrastructure. The upgraded roadway will strengthen the county transportation system by providing safer and more dependable access for residents and visitors while enhancing the overall quality of life for the surrounding community.",None,,High – Strategic Growth,,,,,,,$0,$0,$0,$0,"$22,000","$22,000",,,,,,,,,
South Orange Street Pedestrian Improvements,Engineering,10600,District 5,,Capital Projects Fund,"The proposed funding source for the Construction phase (FY 27) will be Capital Projects Fund.  Construction activities will be performed by Public Works in-house crews and CEI will be performed with in-house engineering staff. The budgeted amount of $243,200 is total project cost with a breakdown as follows:
 • $200,000 (for construction materials only)
 • $43,200  ( anticipated cost for outsourcing of the project; to be performed by in-house engineering staff)",S Orange Street,,,County Engineering,This project includes the construction of a sidewalk along South Orange Street from US Hwy 98 to Inlet Beach Regional Access Park.,Construction,,High – Strategic Growth,,,10116001; 30047030,563000,Infrastructure,"$43,200","$200,000",$0,$0,$0,$0,"$243,200",,,,,,,,,
Sugar Drive Connector Rd,Engineering,10598,District 4,,Capital Projects Fund,"The proposed funding source for the Design phase (FY 27) will be with in-house engineering staff. The budgeted amount of $300,000 would be the anticipated cost for outsourcing of the project.

Right of way acquisition will be a part of this project and is currently anticipated at approximately $600,000.

The proposed funding source for the Construction phase (FY 30) has yet to be determined but staff will continue to evaluate any applicable and appropriate grant sources that may be available to either partially or fully fund this project.

Total project cost breakdown is estimated at $3,400,000 with a breakdown as follows:
 • ROW Acquisition Costs: $600,000
 • Design Costs: $300,000 (anticipated cost for outsourcing of the project; will be performed by in-house engineering staff)
 • Construction/CEI: $2,500,000",Sugar Drive,,,County Engineering,"This project proposes a new two (2) lane roadway from Sugar Drive to Thompson Rd. Project intent is to include Complete Street elements, such as paths, sidewalks, trail or bike lanes.",Design,,High – Strategic Growth,,,30047030,563000,Infrastructure,"$300,000","$600,000",$0,$0,"$2,500,000",$0,"$3,400,000",,,,,,,,,
Tiger Lily Lane (Resurfacing),Public Works,10597,District 3,,Transportation Fund,,Tiger Lily Lane,,,Scott Caraway,"Overlaying the existing asphalt roadway surface will preserve and extend the service life of the County’s transportation infrastructure while improving overall roadway conditions for the traveling public. The project will consist of resurfacing the existing asphalt pavement to address surface deterioration, rutting, cracking, and other deficiencies caused by age, weather, and continuous traffic loading. The proposed asphalt overlay will restore a smooth and structurally sound driving surface, improving ride quality and enhancing roadway safety for motorists, school buses, emergency response vehicles, and commercial traffic. By correcting surface defects and sealing the existing pavement, the project will also reduce water infiltration into the roadway base, helping to prevent accelerated pavement failure and reducing long-term maintenance costs for the County.
 
In addition to improving safety and drivability, the project will support the County’s ongoing efforts to preserve public infrastructure assets in a cost-effective manner. Timely resurfacing extends the useful life of existing roadways and delays the need for more extensive and expensive reconstruction projects in the future. The improved roadway conditions will also reduce wear and tear on vehicles, enhance drainage performance, and improve overall transportation efficiency within the County.",None,,High – Strategic Growth,,,10116001,563000,Infrastructure,,$0,$0,"$130,000",$0,$0,"$130,000",,,,,,,,,
US 331 Multi-Use Path (CR 3280 to North of Bridge),Engineering,10570,,,Capital Projects Fund,Capital Projects Fund,,,,,,None,,None,,,30047030,563000,Infrastructure,,$0,"$195,000",$0,$0,"$1,400,000","$1,595,000",,,,,,,,,
"US 98 & South Lakeshore Intersection Signalization Project
",Engineering,10568,,,Capital Projects Fund,,,,,,,None,,None,,,30047030,563000,Infrastructure,,$0,"$275,000","$1,500,000",$0,$0,"$1,775,000",,,,,,,,,
